Code,Description
9107,"Obturator prosthesis, definitive - silicone glove"
nan,Obturator prosthesis modification
8685,Modification of obturator prostheses per visit.
9108,Mandibular resection prosthesis w/ guide flange
9109,Mandibular resection prosthesis w/o guide flange
9110,"Mandibular resection prosthesis, palatal augmentation"
9111,Glossal resection prosthesis - simple
9112,Glossal resection prosthesis - complex
9113,Radiation carrier - simple
9114,Radiation carrier - complex
9115,Radiation shield - simple
9116,Radiation shield - complex
9117,Radiation cone locator
9118,Chemotherapeutic agent carrier
8855,Consultation - cleft palate therapy (house or hospital)
8856,Consultation - cleft palate (subsequent)
8857,Consultation - cleft palate (maximum)
9119,"Feeding aid prosthesis, neonatal"
9120,"Orthopaedic appliance, active presurgical - minor"
9121,"Orthopaedic appliance, active presurgical - moderate"
9122,"Orthopaedic appliance, active presurgical - severe"
9123,"Orthopaedic appliance, active presurgical - modification"
9125,Speech aid/obturator prosthesis - palatal alteration
9126,Speech aid/obturator prosthesis - velar alteration
9127,Speech aid/obturator prosthesis - pharyngeal alteration
9128,Speech aid/obturator prosthesis - modification
9129,Speech aid/obturator prosthesis - surgical
9130,Speech aid appliance - palatal lift
9131,Speech aid appliance - palatal stimulating
9132,Speech aid appliance - bulb
9133,Speech aid appliance - modification
9134,Unspecified speech aid appliance
9135,Auricular prosthesis - simple
9136,Auricular prosthesis - complex
9137,Nasal prosthesis - simple
9138,Nasal prosthesis - complex
9139,Ocular prosthesis - interim
9140,Ocular prosthesis - modified stock appliance
9141,Ocular prosthesis - custom appliance
9142,Orbital prosthesis - simple
9143,Orbital prosthesis - complex
9144,"Facial prosthesis, combination - small"
9145,"Facial prosthesis, combination - medium"
9146,"Facial prosthesis, combination - large"
9147,"Facial prosthesis, combination - complex"
9148,Unspecified body prosthesis - simple
9149,Unspecified body prosthesis - complex
9150,"Facial prosthesis, surgical - simple"
9151,"Facial prosthesis, surgical - complex"
9152,Extraoral appliance - additional prosthesis
9153,Extraoral appliance - replacement prosthesis
9155,Cranial prosthesis
9156,"Cranial implant prosthesis, custom made"
9157,"Facial implant prosthesis, custom made - simple"
9158,"Facial implant prosthesis, custom made - complex"
9159,"Ocular implant prosthesis, custom made"
9160,Body implant prosthesis - custom made
9154,Cost of Surgical Splint
9161,Surgical splint - simple
9162,Surgical splint - complex
9163,Surgical template - simple
9164,Surgical template - complex
9165,Surgical conformer - simple
9166,Surgical conformer - complex
9167,Trismus appliance (simple)
9168,Trismus appliance (complex)
9169,Orthoses appliance
9170,Facial palsy appliance
9171,Commissure splint
9172,"Oral retractor, dynamic - per arm"
9173,Hand splint
9174,Unspecified burn appliance
9175,Theatre attendance (MaxFac prosthod) /hour
*9180,Surgical placement of sub-periosteal implant - preparatory stage
*9181,Surgical placement of sub-periosteal implant - placement stage
*9182,Surgical placement of endosteal implant plate
8216,CBCT of plaster models or impressions for the purpose of creating virtual models for use in planning software
*9183,Surgical placement of endosteal implant - first per jaw
*9184,Surgical placement of endosteal implant - second per jaw
*9185,Surgical placement of endosteal implant - third and subsequent per jaw
*9190,Surgical placement of abutment - first per jaw
*9191,Surgical placement of abutment - second per jaw
*9192,Surgical placement of abutment - third and subsequent per jaw
*8584,Connector bar - implant supported
8669,Crown cemented on a screw-retained implant-supported superstructure.
*8578,Prefabricated abutment
*8579,Custom abutment
8580,Modification of prefabricated abutment
*8533,Implant supported removable complete overdenture
*8534,Implant supported removable partial overdenture
*8654,Implant supported fixed-detachable complete overdenture
8550,Retainer-Implant/Abutment Supported
*8655,Implant supported fixed-detachable partial overdenture
*8660,Additional fee to implant supported fixed-detachable denture - per implant
*8536,Crown - implant/abutment supported - porcelain/ceramic
*8537,Crown - implant/abutment supported - porcelain with metal
*8538,Crown - implant/abutment supported - cast metal
8539,Crown-Implant / abutment supported crown – resin veneered to metal
8541,Implant supported temporary crown – cemented
8542,Implant supported temporary crown – screw retained
8543,Implant supported provisional crown – cemented
8544,Implant supported provisional crown – screw retained
8592,Crown - implant/abutment supported
8673,Access through a cemented implant supported crown for screw location
*8546,Crown retainer - implant/abutment supported - porcelain/ceramic
*8547,Crown retainer - implant/abutment supported - porcelain with metal
*8548,Crown retainer - implant/abutment supported - cast metal
8549,Implant supported crown retainer – resin veneered to metal
8571,Implant supported temporary retainer – cemented
8572,Implant supported temporary crown  retainer – screw retained
8573,Implant supported provisional crown retainer – cemented
8574,Implant supported provisional crown retainer – screw retained
8665,Mini screw implants
8666,Immediate loading of implant
8668,Metal base for implant supported denture - complete
8621,Metal base for implant supported denture – Partial
8670,Implant screw access closure
8588,Implant supported superstructure
*8590,Implant maintenance procedures - per implant
8591,Removal of implant supported prosthesis
8593,Repair of implant supported resin prosthesis
*8594,Repair of implant supported prosthesis
*8595,Repair of implant abutment
8596,"Repair of implant supported ceramic or ceramometal crown, retainer or pontic"
8598,Repair of implant supported Provisional Prosthesis
*8600,Cost of implant components
*9187,Cost of endosteal implant body
*9188,Cost of prefabricated abutment
*9189,Cost of other implant compnts
9193,Report as an additional code for the placement of endosseus implant into fresh extraction socket
9194,Surgical placement of one-piece trans mucosal endosseus implant
9195,Additional code for the surgical placement of single phase endosseus implant
8603,Removal of fractured/damaged screw within implant.
8604,Removal of fractured/damaged screw within abutment.
8605,Surgical placement of one piece transmucosal implant for orthodontic retention.
8607,"Skeletal anchorage - screw, plate or implant"
8608,Removal of non-integrated implant
8609,"Flap operation with modification of the implant surface, including bone surgery-one to three implants per quadrant"
8610,"Flap operation with modification of the implant surface, including bone surgery-four or more implants per quadrant"
8612,Skeletal anchorage - removal
*9198,Surgical removal of implant
8415,Pontic - porcelain/ceramic
8416,Pontic - cast metal
8417,Pontic - resin with metal
8418,Pontic - porcelain fused to metal
8419,Provisional pontic
8420,Pontic – resin based composite (indirect)
8422,Pontic – resin based composite (direct)
8423,Ovate pontic design
8611,Pontic - sanitary
8613,Pontic - posterior
8615,Pontic - anterior/premolar
8421,Temporary pontic
8431,Temporary inlay/onlay retainer    Emergency inlay/onlay retainer. An emergency inlay/onlay retainer temporary is a custom made retainer to maintain the space and tissue until the definitive prosthesis can be placed. This code is to be used when the patient has to have a prosthesis fabricated as an emergency when the previous definitive prosthesis has failed and cannot be recemented
8432,Inlay/onlay retainer - metal - two surfaces
8433,Inlay/onlay retainer - metal - three surfaces
8434,Inlay/onlay retainer - metal - four or more surfaces
8436,Inlay/onlay retainer - porcelain - two surfaces
8437,Inlay/onlay retainer - porcelain - three surfaces
8438,Inlay/onlay retainer - porcelain - four or more surfaces
8617,Retainer cast metal (Maryland type retainer)
8618,Retainer – ceramic for resin bonded bridge
8619,Fibre reinforced resin inlay retainer – Use for direct Maryland type resin-bonded bridges.
8440,Temporary crown retainer
8441,Crown retainer - full cast metal
8442,Crown retainer - 3/4 cast metal
8443,Crown retainer - porcelain/ceramic
8444,Crown retainer - 3/4 porcelain/ceramic
8445,Crown retainer - porcelain with metal
8446,Crown retainer - resin with metal
8448,Crown retainer – resin based composite (indirect)
8447,Provisional crown retainer
8514,Recement bridge
8515,Sectioning of a bridge
8516,Remove bridge
8518,Repair bridge
8585,Connector bar
8586,Stress breaker
8587,Coping metal
8201,Extraction of tooth or exposed tooth roots
8204,Minimally traumatic tooth/root removal
8213,Surgical removal of residual tooth roots
8215,Impressions for the purpose of establishing virtual models for use in planning software
8937,Surgical removal of tooth
8941,Surgical removal of impacted tooth
8953,"Surgical removal of residual roots, first tooth - per tooth"
9067,Distraction osteogenesis – across one to two tooth sites
9068,Distraction of the alveolar ridge -across three to five tooth sites
9070,Distraction of the alveolar ridge -full arch
9073,Distraction for the reconstruction of the mandibular body (per side)
9078,Distraction for the reconstruction of the mandibular condyle and tempero-mandibular joint
9080,Distraction for the reconstruction of the midface (internal distractor)
9082,Distraction for the reconstruction of the midface (external distractor)
9084,Removal of an internal or external distractor device
8517,Reimplantation of avulsed tooth (include stabilisation)
8909,Oral antral fistula closure
9247,Bicoronal approach
9249,Blephro-approach
9251,Transconjunctival/subcilliary approach
9253,Mandibular swing approach for access to the skullbase
9255,Geniohyoidotomy (mandibular split)
9257,"Midfacial deglove, including nasal skeleton"
8916,Preauriculo-temporal approach
8912,Transmasseteric antero-parotid approach
8913,Condylar Risdon / submandibular approach
8914,Endoscopic or intra-oral approach to the condyle
8915,Intra-oral circum-oral mandibular approach
8911,Caldwell-Luc procedure
8917,Biopsy of oral tissue - soft
8918,Brush biopsy
8919,Biopsy of bone - needle
8920,Exfoliative cytological specimen collection
8923,Aspiration biopsy (FNA)
8924,Open biopsy of a single lymph node in the neck
8932,"Biopsy of soft tissue – intraoral superficial, with suturing"
8934,"Biopsy of soft tissue– intraoral deep or intramuscular, requiring suturing in multiple layers"
8921,Biopsy – extra-oral bone/soft tissue
8925,"Biopsy of soft tissue –extra oral deep or intramuscular, requiring suturing in multiple layers"
8926,Biopsy of tissue –intra-oral bone
8927,Biopsy of tissue –extra-oral bone
8928,Core Needle biopsy
8961,Tooth transplantation
8965,Peripheral neurectomy
8966,Repair of oronasal fistula (local flaps)
8981,Surgical exposure of impacted or unerupted teeth to aid eruption
8896,Cost of materials required to aid eruption
8983,Corticotomy - first tooth
8984,Corticotomy - each additional tooth
8994,Placement of Zygomaticus implant
8996,Placement of  a second Zygomaticus implant
8998,Craniofacial transcutaneous endosseus implant
8999,Craniofacial trans mucosal endosseus implant
8606,Placement of implant fixtures outside the oral cavity
9231,Defensive corticotomy – marginal mandibulectomy
8955,Alveoplasty or alveolectomy in conjunction with extractions- per quadrant
8956,Alveoplasty or alveolectomy not in conjunction with extractions – per quadrant
8957,Alveolotomy or alveolectomy (including extractions)
*9003,Reposition mental foramen and nerve - per side
*9004,Lateralization of inferior dental nerve
nan,Any of a series of surgical procedures designed to increase relative alveolar ridge height.
8997,Sulcoplasty / Vestibuloplasty
8971,Excision of tumour of the soft tissue
8970,"Excision of benign soft tissue tumour/cyst
requiring suturing in multiple layers no
muscular involvement"
8968,"Excision of benign soft tissue tumour/cyst
requiring extensive resection and suturing in
multiple layers with muscular involvement"
8972,Excision small malignant lesion requiring minimal suturing
8974,Excision of malignant soft tissue tumour requiring suturing in multiple layers no muscular or intraosseus involvement
8976,Extensive resection for malignant soft tissue tumour - excluding reconstruction
8978,"Excision of a lesion of the tongue requiring no suture or primary suture, excludes primary suture and may be reported with code 8990"
8910,Vermillionectomy
8982,Local excision of benign lesion of lip with primary closure
8986,Local excision of benign lesion of lip where primary closure is not possible.
8988,Resection for lip malignancy
8990,Repair by primary suture
8992,Repair by skin graft or local flap
9006,Lip reconstruction following an injury or tumour removal: primary closure
9018,"Lip reconstruction following an injury or tumour removal: simple advancement, rotation flap (Abbe or Estlander) (first stage)"
9020,"Lip reconstruction following an injury or tumour removal: simple advancement, rotation flap (Abbe or Estlander) (subsequent stages)"
9022,Lip reconstruction following an injury or tumour removal: Total complicated reconstruction with a complicated advancement flap (Bernard flap)
9026,Radical neck dissection
9221,Posterior neck dissection
9028,Modified radical neck dissection
9030,Selective neck dissection.
9034,Extended neck dissection.
8939,Limited neck dissection
8967,Surgical removal of jaw cyst - intra-oral approach
8969,Surgical removal of jaw cyst - extra-oral approach
8973,Surgical excision of tumours of the jaw
9040,Surgical removal of jaw cyst/tumor – intra-oral approach for lesions  >1cm with no involvement of vital structures
9042,"Surgical removal of jaw cyst/tumor – intra-oral approach for lesions  >1cm with involvement of vital structures, reconstructive procedures not included"
9044,"Surgical excision of malignant tumours of the jaws– extra-oral approach, reconstructive procedures not included"
9054,"Surgical excision of tumours of the midface (zygoma, nose and orbits), reconstructive procedures not included"
9056,Radical resection of palate (including skin graft)
9058,Wide excision of lesion of palate
9064,Complicated reconstruction of bony defects following major ablative procedure for head and neck cancer – soft tissue reconstruction excluded
9086,Tumour resection from infratemporal or pterygopalatine fossa
9088,Tarsorrhaphy
9090,Excision of lacrimal sac: Unilateral
9094,Orbitectomy: Removal of tumour
9097,Orbit: Exenteration
9290,"Maxillectomy - Alveolus only, Level I"
9292,"Maxillectomy - Alveolus and sinus or nasal floor, Level II"
9294,"Maxillectomy - Alveolus, sinus, nasal floor and zygoma excluding orbital rim Level III"
9296,"Maxillectomy - Alveolus, sinus, nasal floor and zygoma including orbital rim Level IV"
9298,"Maxillectomy - Alveolus, sinus, nasal floor, zygoma, orbital rim and pterygoid plates Level V"
9300,Hemiresection of jaw including condyle and coronoid process
8975,Hemiresection of jaw excluding condyl
8987,Reduction of mylohyoid ridges - per side
8989,Removal torus mandibularis
8991,Removal of torus palatinus
8993,Surgical reduction of osseous tuberosity - per side
9098,Partial mandibulectomy
8731,Incision & drainage of abscess - intra-oral
8908,Surgical removal of roots from maxillary antrum
9011,Incision & drainage of abscess - intra-oral (pyogenic)
9013,Incision & drainage of abscess - extra-oral (pyogenic)
9100,Multiple extra-oral incision & drainages (eg. Ludiwig's angina)
9299,Abscess - Retropharyngeal or equivalent
9017,"Decortication, saucerisation and sequestrectomy"
9019,Sequestrectomy - intra oral per sextant and or ramus
nan,Alveolus Fractures
9024,Dento-alveolar fracture - per sextant
9025,Mandible fracture - closed reduction
9027,"Mandible fracture - compound, with eyelet wiring"
9029,Mandible fracture - splints
9031,Mandible fracture - open reduction
9035,Maxilla fracture - Le Fort I or Guerin
9036,Open treatment of maxillary fracture – Le Fort I
9037,Maxilla fracture - Le Fort II or middle third face
9038,Open treatment of maxillary fracture – II or middle third of face
9039,Maxilla fracture - Le Fort III or craniofacial disjunction
9043,Zygomatic arch fracture - open reduction
9045,Zygomatic arch fracture - open reduction (requiring osteosynthesis and/or grafting)
9291,Zygomatic fracture-open reduction with fixation at two sites
8944,Zygomatic fracture-open reduction with fixation at three or more sites
9293,Zygomatic fracture-closed reduction
9295,Cost of device material to test implant stability.
9297,Removal of eyelet wiring.
8946,Zygomatic reconstruction (osteotomy or onlay)
8947,Anthrostomy for the placement of a sinuspack in order to reduce a zygomatic fracture
9046,"Placement of Zygomaticus fixture, per fixture"
9273,Open treatment of an orbital wall fracture
9275,Major orbital reconstruction (comminuted orbital fractures)
9277,Secondary reconstruction of orbital defect
9279,Eyelid surgery for facial paralysis including tarsoraphy (excludes material)
9281,Full thickness eyelid repair (tumor or trauma surgery)
9283,"Repair by superior rectus, levator or frontalis muscle operation"
9285,Ptosis: By lesser procedure e.g. sling operation
9287,Dacrocystorhinostomy
9280,Open reduction and fixation of nasal fractures
9282,Manipulation and immobilisation of nasal fracture
8170,Cost of Mouth protector
8172,Cost of orthotic appliance
8850,Treatment of MPDS - first visit
8851,Treatment of MPDS - subsequent visit
8852,Occlusal orthotic appliance
8951,Trigger point injection (local anesthesia)
8952,"Pain point injection (alcohol, phenol, etc)"
8954,Laser treatment for facial pain
9053,Coronoidectomy (intra-oral approach)
9074,Tmj arthroscopy diagnostic
9075,"Condylectomy, coronoidectomy or both"
9076,TMJ artrocentesis
9077,TMJ intra-articular injection
9079,Trigger point injection
9081,Condylectomy (Ward/Kostecka)
9083,TMJ srthroplasty
9085,Reduction of TMJ disloc w/o anaesthetic
9087,Reduction of TMJ disloc w/ anaesthetic
9089,Reduction of TMJ disloc w/ anaesthetic and immobobilisation
9091,Reduction of TMJ dislocation - open reduction
9092,Joint reconstruction
8929,Removal of temperomandibular joint prosthesis
8930,"Design meeting and / or planning for a custom prosthesis / tempero-mandibular joint, charge per joint/prosthesis designed"
8192,Suture - minor
9021,"Suture - reconstruction, minor (excludes closure of surgical incisions)"
9023,"Suture - reconstruction, major (excludes closure of surgical incisions)"
9289,Frenulotomy
*8962,Harvest iliac crest graft
9208,Harvest iliac crest graft - monocortical
9209,Harvest iliac crest graft - bicortical
9210,Harvest tibial bone - spongiosa
9211,Harvest iliac crest graft - bicortical
9212,Harvest rib graft - bone
9213,Harvest rib graft - cartilage
*8963,Harvest rib graft
*8964,Harvest cranium graft
9214,Harvest auricular cartilage graft
8977,Surgical repair of maxilla or mandible - major
9001,Augmentation of alveolar ridge using block graft / split ridge technique – across one to two tooth sites
9002,Augmentation of alveolar ridge using block graft / split ridge technique – across three to five tooth sites. See code 9001 for descriptor.
*8979,Harvesting of autogenous grafts (intra-oral)
8980,"Intraoral harvesting of bone-coagulum/bone-scraping, not per site"
9215,Intra-oral harvesting of particulate bone
9216,Harvest fascia lata
9217,Harvest of free fat
8985,Frenulectomy/frenulotomy
*9005,Alveolar ridge augmentation - total (by bone graft)
*9007,Alveolar ridge augmentation - total (by alloplastic material)
*9008,Alveolar ridge augmentation - one to two tooth sites
*9009,Alveolar ridge augmentation - three across 3 or more tooth sites
*9010,Sinus lift procedure
9012,"Maxillary sinus floor bone augmentation, buccal-approach, limited"
9014,Osteotome sinus floor bone augmentation
*9032,Open treatment of mandibular fracture through an extra-oral approach.
*9033,Reduction of masseter muscle and bone - intra-oral approach
8940,Endoscopic management of a condylar fracture – report per side
9048,"Surgical removal of internal fixation devices, per site"
nan,For Codes 9047 to 9072 the full fee may be charged.
9218,Nerve repair: 1st Fasciculus
9225,Nerve repair: entubelation
*9047,Osteotomy - open with stabilisation
*9049,"Osteotomy - mandible body, anterior segmental"
*9050,Osteotomy - total subapical
*9051,Genioplasty
9204,"Sandwich osteotomy - for placement of an interpositional bone graft to increase the alveolar ridge height, may also be reported if utilized in the maxilla"
*9052,Midfacial exposure
*9055,"Osteotomy - segmented, posterior"
*9057,"Osteotomy - segmented, anterior"
*9059,"Reconstruct maxilla - Le Fort I osteotomy, one piece"
*9060,Reconstruct maxilla - Le Fort I osteotomy w/ repositioning and graft
*9061,Palatal osteotomy
*9062,"Reconstruct maxilla - Le Fort I osteotomy, multiple segments"
9063,Reconstruct maxilla - Le Fort 2 osteotomy (facial and post-traumatic deformities)
9065,Reconstruct maxilla - Le Fort 3 osteotomy (severe congenital deformities)
9229,Choanal artesia repair through a palatal osteotomy
9227,Turbinectomy
*9066,Surgical expansion - maxilliary or mandibular
9069,Glossectomy - partial
*9071,Geniohyoidotomy
9072,Close secondary oro-nasal fistula w/ bone grafting (complete procedure)
8960,Salivary duct dilatation or canalization
8948,Endoscopic procedure: Wharton's duct
8950,Excision of a ranula (marsupealization)
9093,Removal of salivary stone (Sialolithotomy)
9095,Excision of sublinglual salivary gland
9096,Excision of salivary gland - extra oral approach
9202,Excision of submandibular salivary gland with any type of neck dissection
9186,Closure of salivary fistula
9176,Local resection of parotid tumour (lumpectomy)
9177,Superficial parotidectomy
9178,Total parotidectomy with preservation of facial nerve
9179,Total parotidectomy without preservation of facial nerve
9284,Musculofascial flap
9286,Musculocranial flap
9288,Buccal fat pad (major repair)
9243,"Regional flap (eg pectoral, deltoid or lattisimus dorsi flap)"
9244,Tongue flap - 2 procedures
9274,"Repair anterior table, frontal sinus and/or supraorbital rim"
9276,Repair anterior and posterior wall w/ obturation and/or cranialisation of frontal sinus
9278,"Repair medial canthal ligament (canthopexy), per side"
9200,Cranioplasty
9233,Obliteration of the frontal sinus
9220,Repair cleft hard palate - unilateral
9222,Repair cleft hard palate - bilateral (one procedure)
9224,Repair cleft hard palate - bilateral (two procedures)
9226,Repair cleft soft palate - w/o muscle reconstruction
9228,Repair cleft soft palate - w/ muscle reconstruction
9230,Repair submucosal cleft and/or bifid uvula - w/ muscle reconstruction
9232,Velopharyngeal reconstruction - uncomplicated
9234,Velopharyngeal reconstruction - complicated
9238,Repair oronasal fistula (one procedure)
9240,Repair oronasal fistula (two procedures)
9246,Secondary periosteal flaps
9248,Lipadhesion
9250,Repair cleft lip - unilateral w/o muscle reconstruction
9252,Repair cleft lip - unilateral w/ muscle reconstruction
9254,Repair cleft lip - bilateral w/o muscle reconstruction
9256,Repair cleft lip - bilateral w/ muscle reconstruction
9258,Repair anterior nasal floor
9260,Revision of secondary cleft lip deformity - partial
9262,Revision of secondary cleft lip deformity - total w/ muscle reconstruction
9264,Abbe-flap - two stages
9266,Reconstruct columella
9268,Reconstruct nose due to cleft deformity - partial
9270,Reconstruct nose due to cleft deformity - complete
9272,Paranasal augmentation for nasal base deviation
8862,Ortho Tx - removable appliance
8863,Ortho Tx - each additional removable appliance
nan,"Includes removable and fixed appliances to control harmful habits (e.g., thumbs sucking and tongue thrusting)."
8870,Therapy to control harmful habits – removable appliance
8871,Therapy to control harmful habits – fixed appliance
8858,Ortho Tx - functional appliance
8875,"Ortho Tx - fixed appliance - both arches, Class 1 moderate"
8877,"Ortho Tx - fixed appliance - both arches, Class 1 severe"
8879,"Ortho Tx - fixed appliance - both arches, Class 1 severe w/ complications"
8887,"Ortho Tx - fixed appliance - both arches, Class 2/3 severe w/ complications"
8841,Ortho Tx - fixed lingual appliance - one arch
8842,"Ortho Tx - fixed lingual appliance - one arch, modeate"
8830,"Limited aligner treatment, single arch, up to 7 aligners."
8831,"Moderate aligner treatment, dual arch, up to 7 aligners per arch"
8832,"Moderate aligner treatment, single arch, up to 14 aligners"
8835,Full aligner treatment dual arch unlimited aligners
8874,"Ortho Tx - fixed lingual appliance - both arches, Class 1 mild"
8876,"Ortho Tx - fixed lingual appliance - both arches, Class 1 moderate"
8880,"Ortho Tx - fixed lingual appliance - both arches, Class 1 severe w/ complications"
8882,"Ortho Tx - fixed lingual appliance - both arches, Class 2/3 mild"
8884,"Ortho Tx - fixed lingual appliance - both arches, Class 2/3 moderate"
8886,"Ortho Tx - fixed lingual appliance - both arches, Class 2/3 severe"
8888,"Ortho Tx - fixed lingual appliance - both arches, Class 2/3 severe w/ complications"
8482,Cost of orthodontic attachment
8889,Attachment device
8804,Placement of Fixed orthodontic retainer
8805,Repair or Replacement of fixed orthodontic Retainer
8806,Orthodontic retention visit
8807,Post orthodontic treatment consultation
8846,Repair orthodontic appliance - removable
8847,Replace orthodontic appliance - removable
8848,Repair orthodontic appliance - fixed
8849,Retainer (orthodontic)
8890,Monthly instalment ortho tx
8891,Orthodontic transfer
*8892,Orthodontic re-treatment
8499,General Anaesthetic (Administration)
8141,Inhalation sedation - first 15 minutes or part thereof
8143,Inhalation sedation - each addnl 15 minutes
8144,Intravenous sedation
8145,Local anaesthetic - per visit
8471,Procedural sedation or General anaesthesia- Assessment
8472,Procedural sedation - first 30 minutes
8473,Procedural sedation- each additional 15 minutes or part thereof
8147,Monitoring equipment for intravenous sedation
8474,Procedure room for Sedation
9239,Surgical facility for surgical procedures in consulting rooms
8140,House/extended care facility/hospital call
8903,House/Hosp/Nursing home consultation - MFOS
8904,House/Hosp/Nursing home consultation (subsequent) - MFOS
8905,After regularly hours consultation - MFOS
8906,"Post-op visit in hospital for Neoplasm/
Trauma/CLP (2x/day for duration of hospitalization),
reported visit."
8907,House/Hosp/Nursing home consultation (maximum per week) - MFOS
9203,House/Hosp/Nursing home consultation - Oral pathologist
9207,After hours visit - Oral pathologist
8109,Infection control/barrier techniques
8183,Therapeutic drug injection
8220,Cost of suture material
8221,Cost of haemostatic sponge.
8304,Rubber dam per arch
8306,Cost of MTA
9259,Distraction device for alveolar bone
9261,Internal distraction device for maxilla or mandible
9263,Transport distraction device
9265,External distraction device for maxilla or mandible
9267,Temperomandibular joint prosthesis (stock or custom)
9269,Custom prosthesis for facial reconstruction
9271,Cost of impression material (only to be used with code 8215)
*8310,Supply of bleaching materials
*8099,Dental laboratory service
*8106,Special report
*8111,Dental testimony
*8120,Treatment plan completed
*8139,Appointment not kept /30min
nan,Palliative Treatment
8131,Emergency dental treatment
8166,"Application of desensitising resin, per tooth"
8167,"Application of desensitising medicament, per visit"
8165,Sedative filling
8931,Treatment of post-extraction haemorrhage
8933,Treatment of haemorrhage (blood dyscracias)
9235,Severe nasal bleeding - anterior pack
9236,Severe nasal bleeding - anterior + posterior pack or cauterization
9237,Management of a patient on anti-coagulatives for the performance of a surgical procedure. This code is reported along with the appropriate surgical codes
9223,Ligation of maxillary artery
8935,Treatment of septic socket
*8308,External bleaching - per arch
*8309,Home bleaching - instructions and applicator
*8311,Home bleaching - subsequent visit
8325,Internal bleaching - per tooth
8327,Internal bleaching - each additional visit
*8158,Enamel microabrasion
*8168,Behavior management
8551,Occlusal adjustment - major
*8553,Occlusal adjustment - minor
*9099,Unlisted dental procedure or service (By report)
8001,Assistant surgeon - specialist (1/3 of the appropriate benefit)
8005,Maximum multiple procedures (same incision) - MFO surgeon
8006,Multiple surgical procedures -  third and subsequent procedures (50% of the appropriate benefit)
8007,Assistant surgeon - general dental practitioner (15% of the appropriate benefit)
8008,Emergency surgery - after hours (PLUS 25% of the appropriate benefit)
8009,Multiple surgical procedures - second procedure (75% of the appropriate benefit)
8010,Open reduction (PLUS 75% of the appropriate benefit)
8011,Procedure accompanied by unusual circumstances (Benefit PLUS X % as determined by the practitioner and agreed upon by patient/medical scheme)
8012,Reduced services (benefit MINUS X % as determined by the practitioner)
8013,Multiple modifiers
8023,Fabrication of inlay/onlay (PLUS 25% of the appropriate benefit)
8025,Handling fee - direct materials (26% of material cost to a maximum of R26.00)
